,Date,Disposition,Gender,Initiated By,Location,Race,Reason for Stop,Search
0,1/2/2016 10:35 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5300 S Woodlawn,Caucasian,Suspicious Person,No
1,1/13/2016 6:15 PM,Name checked; released; no further action,Male,UCPD,5500 S. Ellis,African American,Suspicious Person,Yes
2,2/5/2016 12:36 PM,Name checked; dean on call notified,Male,Citizen request for UCPD Response,970 E 58th,Caucasian,Suspicious Person,Yes
3,2/5/2016 4:01 PM,Name checked; referred to CPD,Female,Citizen request for UCPD Response,6400 S Greenwood,African American,Disturbance,Yes
4,2/16/2016 12:31 AM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5200 S Woodlawn,African American,Suspicious Person,No
5,2/21/2016 5:57 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5700 S. Harper,African American,Suspicious Person,No
6,3/30/2016 8:48 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,6223 S University,African American,Suspicious Person,No
7,4/2/2016 3:04 AM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5424 S Kimbark,Caucasian,Suspicious Person,No
8,4/5/2016 4:37 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5480 S Kenwood,African American,Suspicious person,No
9,4/13/2016 7:20 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,1459 E 53rd,African American,Suspicious Person/Possible Theft,No
10,4/13/2016 7:20 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5309 Blackstone,African American,Suspicious Person/Possible Theft,Yes
11,4/14/2016 4:52 PM,Name checked; released; no further action,Female,UCPD,4907 S Kimbark,African American,Subject was observed exiting a parked vehicle without owner's consent. Complaint refused.,No
12,5/5/2016 2:27 PM,Name checked; released; no further action,Male,UCPD,6900 S Stony Island,African American,Subject was in possession of lost property,No
13,5/8/2016 6:38 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,4921 S Dorchester,African American,Disturbance call,No
14,5/8/2016 6:38 PM,Name checked; released; no further action,Female,Citizen request for UCPD Response,4921 S Dorchester,African American,Disturbance call,No
15,5/8/2016 6:38 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,4921 S Dorchester,Hispanic,Disturbance call,No
16,5/14/2016 1:01 AM,Name checked; released; no further action,Male,UCPD,6300 S Dorchester,African American,Suspicious Person,Yes
17,5/14/2016 1:01 AM,Name checked; released; no further action,Male,UCPD,6300 S Dorchester,African American,Suspicious Person,Yes
18,5/14/2016 1:01 AM,Name checked; released; no further action,Female,UCPD,6300 S Dorchester,African American,Suspicious Person,Yes
19,6/1/2016 3:27 PM,Name checked; released; no further action,Male,UCPD,5300 S Dorchester,African American,Disturbance on public way,No
20,There are no field interviews for 6/7/2016,,,,,,,
21,There are no field interviews for 6/8/2016,,,,,,,
22,6/9/2016 12:30 AM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5440 S Ellis,African American,Suspicious person,No
23,6/9/2016 2:18 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5700 S Blackstone,African American,Disturbance,No
24,6/9/2016 2:18 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5700 S Blackstone,African American,Disturbance,No
25,6/9/2016 6:40 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,53-54 Hyde Park Blvd,African American,Suspicious person,No
26,6/9/2016 6:40 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,53-54 Hyde Park Blvd,African American,Suspicious person,No
27,6/17/2016 7:25 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5400 Lake Park,Caucasian,Officers responded to call regarding indecent exposure,No
28,6/24/2016 3:07 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5505 S ELLIS,African American,Suspicious Person,No
29,6/24/2016 3:07 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5505 S ELLIS,African American,Suspicious Person,No
30,6/30/2016 5:04 PM,Name checked; released; no further action,Male,UCPD,5700 S MARYLAND,African American,Panhandling,No
31,7/1/2016 9:24 AM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5700 S Greenwood,African American,Disturbance - AB officer advised that individual was harassing passersby,No
32,7/2/2016 3:11 AM,Name checked; released; no further action,Male,UCPD,901 E 58th,African American,Resembled physical description of robbery offender,No
33,7/6/2016 8:13 PM,Name checked; show up conducted; released,Male,UCPD,5900 S Stony Island,African American,Resembled description of offender,No
34,7/14/2016 2:16 PM,Name checked; referred to CPD; released by CPD,Female,Citizen request for UCPD Response,4900 S Cornell,African American,Suspicious Person,No
35,7/14/2016 2:16 PM,Name checked; referred to CPD; released by CPD,Female,Citizen request for UCPD Response,4900 S Cornell,African American,Suspicious Person,No
36,7/14/2016 2:16 PM,Name checked; referred to CPD; released by CPD,Female,Citizen request for UCPD Response,4900 S Cornell,African American,Suspicious Person,No
