,Date,Disposition,Gender,Initiated By,Location,Race,Reason for Stop,Search
0,1/5/2018 10:08 AM,Name checked; released; no further action,Male,UCPD,1300 Hyde Park,Hispanic,Suspicious vehicle,No
1,1/5/2018 11:40 AM,Name checked; released; no further action,Male,UCPD,5640 S University,African American,Suspicious person,No
2,1/5/2018 11:40 AM,Name checked; released; no further action,Male,UCPD,5640 S University,African American,Suspicious person,No
3,1/5/2018 11:40 AM,Name checked; released; no further action,Male,UCPD,5640 S University,African American,Suspicious person,No
4,1/5/2018 11:58 PM,Name checked; released; no further action,Male,UCPD,5550 S University,Caucasian,Suspicious vehicle,No
5,There were no field interviews to report for 1-11-,,,,,,,
6,1/12/2018 10:04 AM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5730 S Drexel,African American,Domestic disturbance,No
7,1/13/2018 4:26 PM,Name checked; released; no further action,Male,UCPD,6300 S Dorchester,African American,Suspicious person,No
8,1/14/2018 7:00 AM,Name checked; released; no further action,Male,UCPD,5400 S Kimbark,African American,Suspicious vehicle,No
9,1/14/2018 7:00 AM,Name checked; released; no further action,Male,UCPD,5400 S Kimbark,African American,Suspicious vehicle,No
10,1/14/2018 7:00 AM,Name checked; released; no further action,Male,UCPD,5400 S Kimbark,African American,"Suspicious subject on bike, possible lookout",No
11,1/18/2018 11:53 AM,Name checked; transported to high school,Male,UCPD,5700 S Kimbark,African American,Suspicious person,No
12,1/18/2018 11:53 AM,Name checked; transported to high school,Male,UCPD,5700 S Kimbark,African American,Suspicious person,No
13,1/18/2018 11:53 AM,Name checked; transported to high school,Male,UCPD,5700 S Kimbark,African American,Suspicious person,No
14,There were no field interviews to report for 1-19-,,,,,,,
15,There were no field interviews to report for 1-20-,,,,,,,
16,There were no field interviews to report for 1-21-,,,,,,,
17,1/22/2018 11:47 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5900 S Blackstone,African American,Suspicious person,No
18,1/26/2018 10:53 PM,Name checked; released; no further action,Male,UCPD,5900 S Dorchester,African American,Officer observed suspicious subject following another individual,No
19,1/26/2018 10:53 PM,Name checked; released; no further action,Male,UCPD,5900 S Dorchester,African American,Officer observed suspicious subject following another individual,No
20,1/27/2018 11:56 PM,Name checked; released; no further action,Male,UCPD,1226 E 53rd,African American,Suspicious person,No
21,1/27/2018 11:56 PM,Name checked; released; no further action,Male,UCPD,1226 E 53rd,African American,Suspicious person,No
22,2/1/2018 4:34 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,1204 E 53rd,Caucasian,Suspicious person,No
